GISJOIN,YEAR,ANRCA,AIANHHA,RES_ONLYA,TRUSTA,RES_TRSTA,BLOCKA,BLCK_GRPA,TRACTA,CD101A,C_CITYA,COUNTYA,CTY_SUBA,DIVISIONA,MSA_CMSAA,PLACE,PLACEA,PMSAA,REGIONA,STATE,STATEA,URBRURALA,URB_AREAA,CD103A,ANPSADPI,ESP001,ESP002,ESP003,ESP004,ESP005
"G01025240","1990",,,,,,,,,,"99999",,,"6",,"Fairhope city","25240",,"3","Alabama","01",,,,"Fairhope city",2696,785,51,15,3
"G01025384","1990",,,,,,,,,,"99999",,,"6",,"Fairview town","25384",,"3","Alabama","01",,,,"Fairview town",71,46,6,3,2
"G01025648","1990",,,,,,,,,,"99999",,,"6",,"Falkville town","25648",,"3","Alabama","01",,,,"Falkville town",252,132,7,1,0
"G01025816","1990",,,,,,,,,,"99999",,,"6",,"Faunsdale town","25816",,"3","Alabama","01",,,,"Faunsdale town",28,7,2,0,0
"G01025840","1990",,,,,,,,,,"99999",,,"6",,"Fayette city","25840",,"3","Alabama","01",,,,"Fayette city",1438,509,39,12,0
"G01026200","1990",,,,,,,,,,"99999",,,"6",,"Five Points town","26200",,"3","Alabama","01",,,,"Five Points town",45,11,5,4,0
"G01026800","1990",,,,,,,,,,"99999",,,"6",,"Flint City town","26800",,"3","Alabama","01",,,,"Flint City town",199,103,2,0,0
"G01026824","1990",,,,,,,,,,"99999",,,"6",,"Flomaton town","26824",,"3","Alabama","01",,,,"Flomaton town",440,213,21,8,3
"G01026848","1990",,,,,,,,,,"99999",,,"6",,"Florala city","26848",,"3","Alabama","01",,,,"Florala city",664,223,14,8,0
"G01026896","1990",,,,,,,,,,"99999",,,"6",,"Florence city","26896",,"3","Alabama","01",,,,"Florence city",11145,3541,185,35,4
"G01026992","1990",,,,,,,,,,"99999",,,"6",,"Foley city","26992",,"3","Alabama","01",,,,"Foley city",1242,579,50,20,6
"G01027088","1990",,,,,,,,,,"99999",,,"6",,"Forestdale CDP","27088",,"3","Alabama","01",,,,"Forestdale CDP",3141,879,19,2,0
"G01027376","1990",,,,,,,,,,"99999",,,"6",,"Forkland town","27376",,"3","Alabama","01",,,,"Forkland town",110,81,15,8,1
"G01027520","1990",,,,,,,,,,"99999",,,"6",,"Fort Deposit town","27520",,"3","Alabama","01",,,,"Fort Deposit town",254,121,39,9,2
"G01027544","1990",,,,,,,,,,"99999",,,"6",,"Fort McClellan CDP","27544",,"3","Alabama","01",,,,"Fort McClellan CDP",99,415,29,13,0
"G01027616","1990",,,,,,,,,,"99999",,,"6",,"Fort Payne city","27616",,"3","Alabama","01",,,,"Fort Payne city",3325,1353,77,18,2
"G01027640","1990",,,,,,,,,,"99999",,,"6",,"Fort Rucker CDP","27640",,"3","Alabama","01",,,,"Fort Rucker CDP",423,1002,75,22,1
"G01028024","1990",,,,,,,,,,"99999",,,"6",,"Franklin town","28024",,"3","Alabama","01",,,,"Franklin town",45,14,1,1,0
"G01028312","1990",,,,,,,,,,"99999",,,"6",,"Frisco City town","28312",,"3","Alabama","01",,,,"Frisco City town",393,191,23,5,1
"G01028432","1990",,,,,,,,,,"99999",,,"6",,"Fruithurst city","28432",,"3","Alabama","01",,,,"Fruithurst city",42,26,1,0,0
"G01028504","1990",,,,,,,,,,"99999",,,"6",,"Fulton town","28504",,"3","Alabama","01",,,,"Fulton town",91,41,4,2,1
"G01028552","1990",,,,,,,,,,"99999",,,"6",,"Fultondale city","28552",,"3","Alabama","01",,,,"Fultondale city",1588,754,34,3,0
"G01028672","1990",,,,,,,,,,"99999",,,"6",,"Fyffe town","28672",,"3","Alabama","01",,,,"Fyffe town",274,147,3,1,0
"G01028696","1990",,,,,,,,,,"99999",,,"6",,"Gadsden city","28696",,"3","Alabama","01",,,,"Gadsden city",12848,4295,289,67,13
"G01028768","1990",,,,,,,,,,"99999",,,"6",,"Gainesville town","28768",,"3","Alabama","01",,,,"Gainesville town",99,57,7,3,0
"G01028936","1990",,,,,,,,,,"99999",,,"6",,"Gantt town","28936",,"3","Alabama","01",,,,"Gantt town",67,38,2,2,0
"G01028984","1990",,,,,,,,,,"99999",,,"6",,"Gantts Quarry town","28984",,"3","Alabama","01",,,,"Gantts Quarry town",1,1,0,0,0
"G01029032","1990",,,,,,,,,,"99999",,,"6",,"Garden City town","29032",,"3","Alabama","01",,,,"Garden City town",155,69,4,1,0
"G01029056","1990",,,,,,,,,,"99999",,,"6",,"Gardendale city","29056",,"3","Alabama","01",,,,"Gardendale city",2646,876,18,4,2
"G01029296","1990",,,,,,,,,,"99999",,,"6",,"Gaylesville town","29296",,"3","Alabama","01",,,,"Gaylesville town",38,18,1,0,0
"G01029392","1990",,,,,,,,,,"99999",,,"6",,"Geiger town","29392",,"3","Alabama","01",,,,"Geiger town",38,33,8,0,1
"G01029464","1990",,,,,,,,,,"99999",,,"6",,"Geneva city","29464",,"3","Alabama","01",,,,"Geneva city",1269,527,50,15,1
"G01029560","1990",,,,,,,,,,"99999",,,"6",,"Georgiana town","29560",,"3","Alabama","01",,,,"Georgiana town",455,205,36,14,5
